"Run.ID","P0.Regret.GN","P1.Regret.GN","P2.Regret.GN","P3.Regret.GN"
402,0.00338329712397993,0.00548431906003621,0.00199442594855511,0
403,0,0.000729417370603405,0.00392090124048157,0.00608535207288536
404,0.00948479870285479,0.00783918555865792,0.00110698615661706,0
405,0,0.00132883779147019,0.00906200865281078,0.0110351811779507
406,0,0.000935865299888327,0.00660158119880115,0.00983864318469464
407,0,0.00085316765782352,0.00323272936826716,0.00271837796422711
408,0.00154079611703097,0.00444767502127002,0.000847323955814177,0
409,0,0.00127114853280111,0.0116941694880795,0.00997325434665081
410,0,0.00143241264956698,0.0101636553773406,0.00816259605421968
411,0,0.00129557796352721,0.0114094551367967,0.0113870274613179
412,0,0.00136550623073,0.0113115579993698,0.0100974426455438
413,0,0.000758383780278028,0.00510140667472604,0.00782454356550811
414,0,0.000950121245440513,0.00503130633534976,0.00353248679252294
415,0,0.000768168435604549,0.00433889060313162,0.00715149207089903
416,0,0.00146861405318457,0.015318340990453,0.0149742696095129
417,0,0.000885778961879519,0.00375800264005718,0.00296214309527107
418,0,0.00160136473516522,0.00195542140628673,0.000139762156353848
419,0,0.00106253933287,0.00889568667311834,0.0168731865388911
420,0,0.00269046938752363,0.00451994155865138,0.00367325916867133
421,0.00472390732844165,0.00849615526046375,0.000891344254141453,0
422,0,0.00135927695578954,0.00921215835957875,0.0102031646858256
423,0,0.000426459264087192,0.00145852871477819,0.000951455902875868
424,0.00780102349356121,0.00936912508394148,0.00236002598552988,0
425,0,0.00186949254918497,0.00312360986475434,0.00146448504777139
426,0,0.00179104064773513,0.00471906927148421,0.00285126117691062
427,0,0.0014988812672593,0.0021045239915528,0.000460790078039352
428,0,0.000645519514127019,0.00337799181092725,0.0052282420494034
429,0,0.00082501758986131,0.00583818202398831,0.0117020263442594
430,0.0118076865567933,0.00816804728200208,0.000877528349640094,0
431,0,0.000936316622735571,0.00794098121027267,0.0153534363012277
432,0,0.00116486671991159,0.00738417672385544,0.010777088365203
433,0,0.0013459996310165,0.00767161052296655,0.0064821776136607
434,0,0.00226989822468219,0.00348468483035241,0.00227459109934082
435,0.00470896362394455,0.00531725352732665,0.00176656188913606,0
436,0,0.00122185928964611,0.00840392042657854,0.0103608361956074
437,0,0.0010295095532288,0.0100839242175765,0.0103803192862727
438,0,0.000781759397204658,0.00404491482307203,0.00453230177753092
439,0,0.00161617529784817,0.00909507421731779,0.00753149149146097
440,0,0.000740707876559398,0.0045764794406213,0.00861892242099207
441,0.00366652150589659,0.00384154731038889,0.00154950560437207,0
442,0,0.000938803498089905,0.00688732124191676,0.0131923368708611
443,0.00976824245767438,0.00855468130632728,0.00207133757119082,0
444,0,0.00116432897706036,0.00612488115965055,0.00346336057001069
445,0.00168503278531754,0.0022344154347157,0.00220101241456919,0
446,0,0.000796200790955354,0.00552123458213722,0.00999929655007462
447,0,0.000750899908958505,0.00383097687931085,0.00534782970248652
448,0,0.0017140731595586,0.0156970223645514,0.0146303486375366
449,0,0.000892530746824624,0.00477130721090041,0.00474882087289439
450,0,0.00168285726184325,0.00763050169249178,0.00600161631827887
