"Run.ID","P0.Regret.DT","P1.Regret.DT","P2.Regret.DT","P3.Regret.DT"
486,0,0,0,0
487,-4.0982497246838,-4.0982497246838,-2.57471116609434,0
488,-6.20509729557869,-6.20509729557869,-0.735170516775976,0
489,-0.806193340012714,-0.806193340012714,-0.806193340012714,0
490,-5.51991299927732,-5.51991299927732,-1.2903891320058,0
491,-6.73796887005857,-2.78024488217312,-0.154790659019825,0
492,-1.24391397889949,-1.24391397889949,-1.24391397889949,0
493,-5.83814090447122,-5.83814090447122,-1.00719719422876,0
494,-3.28495001085131,-3.28495001085131,-3.28495001085131,0
495,-6.51801108245273,-6.51801108245273,-0.415242782156868,0
496,-6.72272176012291,-2.42116241746603,-0.178612546379597,0
497,-6.11145320838066,-6.11145320838066,-0.946877821620384,0
498,-6.64323978336884,-3.54491817080713,-0.353949745431656,0
499,-5.77203528340638,-5.77203528340638,-1.16851462543217,0
500,-4.85431746247406,-4.85431746247406,-2.05458735587824,0
501,0,0,0,0
502,-6.05998648110079,-6.05998648110079,-0.900163072103005,0
503,0,0,0,0
504,-1.87659270574061,-1.87659270574061,-1.87659270574061,0
505,-1.63216003669704,-1.63216003669704,-1.63216003669704,0
506,-2.68735673709147,-2.68735673709147,-2.47885427589455,0
507,-6.47570124227004,-4.64933879697116,-0.431488536723293,0
508,-5.99861462462455,-5.99861462462455,-0.990384057520655,0
509,-6.65908592570775,-3.49463450279205,-0.271221928550429,0
510,-4.5518183544869,-4.5518183544869,-2.65700265853112,0
511,-1.60352818957122,-1.60352818957122,-1.60352818957122,0
512,-1.4152000448018,-1.4152000448018,-1.4152000448018,0
513,-3.03431195385327,-3.03431195385327,-3.03431195385327,0
514,-3.22741911534239,-3.22741911534239,-3.22741911534239,0
515,-4.5320811201624,-4.5320811201624,-1.55132537935495,0
516,-4.76174535428406,-4.76174535428406,-2.05369843351577,0
517,-6.52435413263447,-6.52435413263447,-0.414260255763365,0
518,-5.93502520560768,-5.93502520560768,-1.75742418087528,0
519,0,0,0,0
520,-5.19463295666085,-5.19463295666085,-1.19939752783679,0
521,-5.32063836872137,-5.32063836872137,-2.37417230101167,0
522,-3.63660950745045,-3.63660950745045,-1.79985850581671,0
523,-4.07728050756621,-4.07728050756621,-1.76095910609814,0
524,-0.222841122098882,-0.222841122098882,-0.222841122098882,0
525,-6.34800167455999,-6.34800167455999,-0.952306375023427,0
526,-2.63381259936696,-2.63381259936696,-1.65087398007483,0
527,-0.576236750187521,-0.576236750187521,-0.576236750187521,0
528,-3.02903680386583,-3.02903680386583,-3.02903680386583,0
529,-4.30658323558161,-4.30658323558161,-2.18820300036168,0
530,-1.30071255506093,-1.30071255506093,-1.30071255506093,0
531,-4.69676169561369,-4.69676169561369,-2.34420615426149,0
532,-3.68437810604376,-3.68437810604376,-3.68437810604376,0
533,-5.58425758547538,-5.58425758547538,-0.959829763221032,0
534,-6.69668816728154,-6.69668816728154,-0.257198148439449,0
535,-5.51910513165015,-5.51910513165015,-3.93447435708084,0
536,-4.53950046916661,-4.53950046916661,-2.08668363901748,0
537,-4.84364737607054,-4.84364737607054,-1.6445339492499,0
538,-1.84922850966326,-1.84922850966326,-1.84922850966326,0
539,-4.13395186427448,-4.13395186427448,-1.46291898867703,0
540,-4.84628711689988,-4.84628711689988,-1.08884710710448,0
541,-4.14083475864642,-4.14083475864642,-2.65686076251573,0
542,-3.47834564918531,-3.47834564918531,-3.47834564918531,0
543,-5.83495396909146,-5.83495396909146,-1.10632500502407,0
544,0,0,0,0
545,-5.85788933323815,-5.85788933323815,-1.50588483010333,0
546,-5.33626920493912,-5.33626920493912,-1.59816771609446,0
547,-6.65326123121984,-6.65326123121984,-0.324545566158356,0
548,0,0,0,0
549,-6.12806873941311,-6.12806873941311,-0.949676226413842,0
550,-5.54498902348853,-5.54498902348853,-0.897751187056229,0
551,0,0,0,0
552,-6.63246358925902,-6.63246358925902,-0.37302034935524,0
553,-2.83054952764952,-2.83054952764952,-2.33690952286332,0
554,-6.71737025357902,-6.71737025357902,-0.199158240217133,0
555,-6.28390647387254,-6.28390647387254,-0.677004674224733,0
556,-5.98388010559555,-5.98388010559555,-0.905866818681243,0
557,-6.42895934659977,-3.58799395309932,-0.461540459780518,0
558,-6.40028953020921,-6.40028953020921,-0.714256453851189,0
559,-4.67157817659452,-4.67157817659452,-3.77650014181741,0
560,-5.61308786398173,-5.61308786398173,-1.31575156753407,0
561,-3.79857221713893,-3.79857221713893,-3.79857221713893,0
562,-5.84786328929402,-5.84786328929402,-0.984596669395347,0
563,-4.63175079468096,-4.63175079468096,-2.49046524224819,0
564,-5.96658233529948,-5.96658233529948,-1.00407524600071,0
565,-6.17534070958342,-6.17534070958342,-0.996958189555097,0
566,-2.57536400964399,-2.57536400964399,-2.57536400964399,0
567,-1.87563401765864,-1.87563401765864,-1.87563401765864,0
568,-1.39625261835067,-1.39625261835067,-1.39625261835067,0
569,-6.38288241443487,-6.38288241443487,-0.59320601399004,0
570,-0.746027982703619,-0.746027982703619,-0.746027982703619,0
571,-6.0229295672764,-6.0229295672764,-1.00371857740007,0
572,-0.831472967560053,-0.831472967560053,-0.831472967560053,0
573,-2.50861457363718,-2.50861457363718,-2.50861457363718,0
574,-4.98396927151024,-4.98396927151024,-1.46942968517862,0
575,-6.06784609765175,-6.06784609765175,-0.761955804455827,0
576,-3.1794668285403,-3.1794668285403,-2.00815790370422,0
577,0,0,0,0
578,0,0,0,0
579,-6.42488206760994,-6.42488206760994,-0.692448426433282,0
580,-4.56259871617664,-4.56259871617664,-2.60448974261549,0
581,-4.8136827631526,-4.8136827631526,-1.32172377199417,0
582,-5.92143970339319,-5.92143970339319,-1.24844272913073,0
583,-6.73369768442291,-2.21499912604075,-0.163875008571057,0
584,-6.09104562121902,-6.09104562121902,-0.989634166419221,0
585,-4.97640555772519,-4.97640555772519,-1.18845045200852,0
586,-6.69037863896354,-3.02873180373096,-0.201999949237625,0
587,-2.8882575878413,-2.8882575878413,-2.8882575878413,0
588,-4.9504358426993,-4.9504358426993,-1.52496236935609,0
589,-6.60973097538428,-6.60973097538428,-0.439002396107035,0
590,-6.66267682944655,-3.09634284965487,-0.262197518083535,0
591,-6.64904120617572,-6.64904120617572,-0.336649020147488,0
592,-6.50276801799359,-6.50276801799359,-0.492022010038257,0
593,-4.66196707040074,-4.66196707040074,-2.94124347662995,0
594,-0.974178673005706,-0.974178673005706,-0.974178673005706,0
595,-4.1280673676533,-4.1280673676533,-2.26539022418308,0
596,-6.33660282441257,-6.33660282441257,-0.598598716662197,0
597,-5.66843348294398,-5.66843348294398,-1.58366291812279,0
598,-5.78426658121127,-5.78426658121127,-1.50413397898781,0
599,0,0,0,0
600,-6.54214009167686,-3.58584186556242,-0.359247270906596,0
601,-5.11765658194078,-5.11765658194078,-1.68718076087784,0
602,-6.23962476840089,-6.23962476840089,-0.79100243909229,0
603,-6.40341793052874,-6.40341793052874,-0.662606067917199,0
604,-6.72659806929824,-6.72659806929824,-0.230223881669796,0
605,-3.13206951938554,-3.13206951938554,-2.49065497105451,0
606,-2.64808126461984,-2.64808126461984,-1.66850799133667,0
