"Run.ID","P0.Regret.GS","P1.Regret.GS","P2.Regret.GS","P3.Regret.GS"
558,0.0139276668874354,0.0169815705771081,0.0181776789245604,0
559,0.0133353070721515,0.0142693820081992,0.0239562410880419,0
560,0.018491949687779,0.01988005482832,0.0196131384984652,0
561,0.0146055241825615,0.0155998352735773,0.0259320108019102,0
562,0.0244491671914953,0.026719572940754,0.0209699900538421,0
563,0.0108255637083698,0.0117641558824134,0.0174410509238935,0
564,0.026085391019612,0.0270800040131594,0.0183223974135455,0
565,0.0135206693811328,0.0153643344608033,0.0176395691460809,0
566,0.00672519970651815,0.00811286718570928,0.0209502705485325,0
567,0.0122643552546572,0.0129919928203881,0.0180860891090288,0
568,0.00653364058677514,0.00776464175966544,0.0174473610757457,0
569,0.0116826038127104,0.0135093183693124,0.0154784944531822,0
570,0,0.00102454215827109,0.0105733673017007,0.0079641812580787
571,0.0172764233914487,0.0190005810156163,0.0179607317128764,0
572,0.00261162024417543,0.0034566687129093,0.010244166624397,0
573,0.0158955439242282,0.0169543242080081,0.022901222130652,0
574,0.0180808134128064,0.0190947187996754,0.0183948694555731,0
575,0.0165143053473111,0.0192565842782357,0.0175921354094857,0
576,0.0211950839247634,0.022344588292945,0.0224161357862162,0
577,0.00728701736995238,0.00788816982468702,0.0106973884862395,0
578,0,0.000822632333604266,0.00516314038944744,0.000944811871730809
579,0,0.00187279974568418,0.0184099020964038,0.00186420130357865
580,0.00778503859936547,0.00904892550419983,0.0218096245300888,0
581,0.0235558839062575,0.0245949634998819,0.0204822680094874,0
582,0.01314430660922,0.0145900447010733,0.0194374392392018,0
583,0.0345964353833712,0.0193752561541927,0.0151050299174365,0
584,0.006763232454914,0.00849552334620891,0.0194852389144609,0
585,0.0200038082962971,0.0216849170510872,0.022342586933897,0
586,0.0310564880991494,0.0219453489375874,0.0155503379131881,0
587,0.0141914746582193,0.0148761252846426,0.0193505096202382,0
588,0.024748509203794,0.0257873386288047,0.0211849833281273,0
589,0.0246701833828482,0.0281104936116827,0.0162356087036331,0
590,0.0362606618641139,0.0230067369203518,0.0164253663442745,0
591,0.0129035338153298,0.0159132117902124,0.0158724776200999,0
592,0.024180565005101,0.0264204795295796,0.0163887212406116,0
593,0.0152191994471308,0.0161856604394395,0.019671657287937,0
594,0.238243073881042,0.239095910102325,0.24498234353884,0
595,0.0178534542030835,0.018898067026339,0.0217639960694412,0
596,0.0241429884201407,0.0281493477696556,0.0176488351312826,0
597,0.0177100669838543,0.0189833436128013,0.0190492123295981,0
598,0.0175176583086086,0.018587836209742,0.0194717200416856,0
599,0.195706156050296,0.196543934715211,0.202005203953782,0
600,0.0321296106972627,0.0223876532788023,0.0166123319480173,0
601,0.013509629332358,0.0147830163347461,0.0189161058417499,0
602,0.0124498369331653,0.0139996593815502,0.0155700789083614,0
603,0,0.00184881395408008,0.0180640649351993,0.00200994951111393
604,0.0320422380131744,0.0402565449148342,0.0160794484996708,0
605,0.0162570083030786,0.0175427772567503,0.0220815575547679,0
606,0.0237698544291191,0.0240816533752702,0.0216674798730197,0
607,0.0106784843509875,0.0116784493734307,0.0189384521267165,0
608,0.0285438668873282,0.0291612749246035,0.0192614670381071,0
609,0.00981820476013673,0.0104850130961329,0.0143646521384004,0
610,0.00645915423785288,0.00744422239808425,0.0136405414972452,0
611,0.0151940398130558,0.0178318888361949,0.0165176877406372,0
612,0.0296090196934277,0.0324549525721641,0.0191179824356985,0
613,0.0351315471360175,0.0302081959404363,0.019669896170385,0
614,0.0290971865553279,0.027566530787189,0.0193220052688101,0
615,0.00581923304206488,0.0075646552235,0.0169015129099923,0
616,0.0198853263261924,0.022549588885485,0.0157027461563818,0
617,0.00468004151344573,0.00593324299042961,0.01886399850608,0
618,0.00798247548265006,0.0100972804654949,0.0173090532975745,0
619,0.0101407079268037,0.0109326373515214,0.0181403058560693,0
620,0.0210903274026387,0.0234790137149819,0.0194481389170677,0
621,0,0.000882872349272458,0.00624646075304244,0.00145582277605434
622,0.0256546089066414,0.0312085781285391,0.0170376474068914,0
623,0.0105230973904185,0.0113710632172378,0.0173691598574165,0
624,0,0.000748119973105345,0.00529779348431545,0.000480911987164608
625,0.00576361792634008,0.00681191673613262,0.0187011168200175,0
626,0.0132887790146836,0.0146368453035703,0.0202428072730321,0
627,0.00872089595984667,0.00951163439751659,0.0206816835219519,0
628,0.741518378488641,0.742208829234187,0.745534758793832,0
629,0,0.00117559769767854,0.0139454129036621,0.00152091319180722
630,0.0242731362134356,0.0215540279210579,0.015510044638534,0
631,0.00640717675932327,0.00775664022823502,0.020384679836965,0
632,0,0.00200675945799059,0.0211672705665856,0.00412572469627169
633,0.0126642213812448,0.0137612258989359,0.0193909624649176,0
634,0.00704507091469548,0.00843632883199136,0.0162373820632077,0
