"GRAPROES_NUM","PER_VPH_INTER"
11.88,"87.5000%"
9.54,"44.4444%"
10.8,"62.5000%"
11.67,"66.6667%"
11.56,"80.0000%"
10.62,"50.0000%"
9.08,"100.0000%"
7.79,"26.6667%"
6.45,"17.6471%"
7.81,"41.6667%"
7.44,"0.0000%"
7.46,"30.0000%"
7.29,"0.0000%"
7.43,"50.0000%"
6.81,"30.0000%"
6.67,"0.0000%"
7.39,"25.0000%"
6.54,"40.0000%"
7.76,"30.0000%"
7.6,"0.0000%"
7.45,"50.0000%"
8.73,"42.8571%"
7.39,"37.5000%"
9.19,"0.0000%"
10.19,"66.6667%"
8.7,"47.3684%"
10.68,"42.8571%"
9.4,"60.0000%"
9.16,"57.1429%"
9.8,"75.0000%"
9.67,"83.3333%"
7.94,"81.8182%"
7.5,"50.0000%"
10.16,"62.5000%"
7.65,"40.0000%"
8.29,"50.0000%"
8.24,"70.0000%"
10.05,"50.0000%"
11.58,"60.0000%"
12.42,"100.0000%"
9.05,"50.0000%"
7.89,"75.0000%"
9.59,"50.0000%"
6.89,"50.0000%"
8.2,"60.0000%"
11.44,"71.4286%"
11.17,"75.0000%"
8.31,"66.6667%"
10,"66.6667%"
10.28,"55.5556%"
11.53,"83.3333%"
9.71,"60.0000%"
9.94,"37.5000%"
10.84,"66.6667%"
10.4,"50.0000%"
7.9,"37.5000%"
10,"75.0000%"
9.56,"50.0000%"
10.76,"37.5000%"
7.71,"66.6667%"
10.43,"55.5556%"
9.43,"50.0000%"
9.44,"66.6667%"
8.65,"60.0000%"
8.62,"66.6667%"
8.44,"45.4545%"
6.62,"54.5455%"
8.56,"53.3333%"
9.3,"0.0000%"
8.44,"45.0000%"
9.41,"50.0000%"
9.16,"38.8889%"
8.37,"27.5862%"
6.48,"62.5000%"
6.73,"0.0000%"
9.56,"50.0000%"
9.09,"0.0000%"
7.3,"33.3333%"
14.17,"80.0000%"
7.57,"34.7826%"
8.12,"30.7692%"
7.14,"50.0000%"
7.93,"36.3636%"
9.19,"50.0000%"
5.95,"50.0000%"
8.39,"66.6667%"
6.09,"42.8571%"
8.05,"44.4444%"
8.22,"42.8571%"
10.62,"62.5000%"
12.18,"70.0000%"
11.33,"77.7778%"
12.71,"66.6667%"
9.88,"42.8571%"
10.45,"54.5455%"
13.64,"100.0000%"
10.2,"71.4286%"
10.44,"44.4444%"
9.1,"42.1053%"
8.38,"100.0000%"
10.14,"66.6667%"
11.7,"77.7778%"
9.83,"60.0000%"
9.84,"62.5000%"
10.95,"62.5000%"
6.39,"26.6667%"
9.05,"36.3636%"
8.32,"30.0000%"
11.71,"75.0000%"
9.46,"50.0000%"
9.53,"71.4286%"
12.22,"75.0000%"
10.77,"50.0000%"
10.38,"61.5385%"
9.36,"78.5714%"
5.6,"0.0000%"
9.73,"36.3636%"
8.09,"44.4444%"
10,"55.5556%"
6.79,"16.1290%"
7.65,"42.1053%"
8.24,"30.7692%"
7.93,"56.5217%"
8.31,"43.7500%"
8.54,"31.2500%"
8.46,"50.0000%"
7.92,"37.5000%"
7.53,"50.0000%"
7.25,"50.0000%"
8.44,"50.0000%"
8.35,"37.5000%"
9.37,"57.1429%"
7.77,"37.5000%"
9.13,"42.8571%"
9.33,"71.4286%"
8.44,"33.3333%"
8.92,"50.0000%"
8.83,"30.7692%"
8.69,"73.3333%"
8.6,"53.3333%"
8.29,"40.0000%"
9.93,"42.8571%"
9.21,"53.3333%"
9.1,"53.8462%"
7.14,"40.0000%"
8.9,"44.4444%"
8.54,"53.8462%"
6.9,"21.4286%"
6.22,"29.4118%"
7.48,"30.0000%"
8,"35.2941%"
7.73,"57.8947%"
9.72,"71.4286%"
8.68,"44.4444%"
9.31,"63.1579%"
7.63,"33.3333%"
7.73,"33.3333%"
8.17,"26.3158%"
8.32,"36.3636%"
8.31,"33.3333%"
7.8,"55.5556%"
7.63,"20.0000%"
7.62,"44.4444%"
8.09,"27.2727%"
7.92,"36.3636%"
10.17,"66.6667%"
8,"60.0000%"
9,"50.0000%"
9.57,"75.0000%"
11.89,"87.5000%"
7.06,"42.8571%"
9.7,"100.0000%"
10.45,"60.0000%"
10.15,"60.0000%"
10.22,"60.0000%"
10.62,"60.0000%"
10.4,"42.8571%"
9.55,"66.6667%"
8.28,"47.8261%"
9,"50.0000%"
10.33,"90.0000%"
10.59,"87.5000%"
9.57,"55.5556%"
6.59,"37.5000%"
6.27,"33.3333%"
6.92,"33.3333%"
8.32,"33.3333%"
8.89,"30.0000%"
7.89,"37.5000%"
9.04,"41.6667%"
8.22,"41.1765%"
8.62,"47.6190%"
6.59,"45.4545%"
8.73,"33.3333%"
6.89,"35.2941%"
9.94,"53.3333%"
8.29,"55.5556%"
7.3,"0.0000%"
8.65,"66.6667%"
7.05,"50.0000%"
8.19,"75.0000%"
12.14,"54.5455%"
10.43,"71.4286%"
6.95,"25.0000%"
8.33,"50.0000%"
7.77,"45.4545%"
8.13,"41.6667%"
9,"70.0000%"
8.85,"27.2727%"
13.66,"61.5385%"
8.65,"37.5000%"
6.86,"57.1429%"
8.13,"37.5000%"
10.53,"57.1429%"
9.3,"45.4545%"
10.2,"62.5000%"
6.91,"40.0000%"
7.71,"50.0000%"
11.3,"80.0000%"
10.85,"60.0000%"
9.2,"66.6667%"
8.65,"26.6667%"
8.65,"60.0000%"
7.74,"55.5556%"
6.5,"0.0000%"
9.03,"25.0000%"
7.66,"20.0000%"
8.5,"0.0000%"
9.32,"50.0000%"
8.11,"37.5000%"
9,"57.1429%"
7.34,"23.0769%"
7.73,"0.0000%"
8.08,"27.2727%"
6.27,"27.2727%"
9.41,"71.4286%"
7.57,"0.0000%"
8.81,"36.3636%"
7.76,"30.7692%"
8.29,"55.5556%"
6.73,"0.0000%"
7.69,"57.1429%"
7.36,"0.0000%"
6.5,"0.0000%"
5.88,"0.0000%"
6,"0.0000%"
8.13,"0.0000%"
6.36,"0.0000%"
6.31,"0.0000%"
10.82,"66.6667%"
9.47,"71.4286%"
7.8,"40.0000%"
9.33,"57.1429%"
8.73,"50.0000%"
9.59,"53.8462%"
9.35,"48.9362%"
9.07,"41.6667%"
9.19,"41.9355%"
8.72,"22.2222%"
7.95,"15.0000%"
9.4,"0.0000%"
8.21,"71.4286%"
8.33,"63.6364%"
9.03,"23.0769%"
8.28,"35.2941%"
8.96,"20.0000%"
9,"40.0000%"
8.89,"38.4615%"
8.05,"35.7143%"
7.27,"50.0000%"
9.81,"28.5714%"
8.22,"42.8571%"
6.93,"0.0000%"
9.04,"35.0000%"
11.11,"77.2727%"
8.96,"63.1579%"
9.43,"57.1429%"
9.28,"26.3158%"
8.74,"25.9259%"
9.48,"31.8182%"
9.51,"36.0000%"
7.93,"0.0000%"
9.38,"35.2941%"
9.04,"36.3636%"
8.42,"100.0000%"
6.87,"36.3636%"
5.71,"0.0000%"
9.37,"50.0000%"
7.21,"0.0000%"
9,"44.4444%"
8.87,"50.0000%"
8.66,"50.0000%"
8.59,"53.3333%"
7.78,"46.1538%"
8.65,"40.0000%"
8.31,"54.5455%"
7.15,"33.3333%"
7.44,"85.7143%"
6.17,"0.0000%"
8.25,"0.0000%"
7.6,"0.0000%"
6.8,"0.0000%"
7.63,"0.0000%"
7.25,"0.0000%"
8,"0.0000%"
7.72,"0.0000%"
8,"0.0000%"
6.55,"42.8571%"
6.75,"0.0000%"
7.27,"0.0000%"
14.65,"29.4118%"
13.86,"100.0000%"
14.09,"47.6190%"
8.94,"72.7273%"
8.85,"61.5385%"
7.11,"60.7843%"
9.44,"50.0000%"
9.68,"72.7273%"
9.81,"60.0000%"
9.22,"63.9344%"
11.64,"83.3333%"
12.06,"71.4286%"
12.05,"85.7143%"
9.57,"70.0000%"
9.56,"65.0000%"
9.89,"50.0000%"
7.34,"30.7692%"
9.53,"80.0000%"
9.09,"61.1111%"
9.6,"94.7368%"
10,"64.7059%"
9.43,"69.2308%"
10.6,"81.8182%"
9.48,"62.5000%"
10.95,"61.5385%"
9.27,"77.7778%"
9.89,"92.3077%"
11.1,"88.8889%"
9.53,"57.1429%"
9.83,"75.0000%"
10.49,"66.6667%"
10.15,"77.7778%"
9,"60.0000%"
10.87,"82.6087%"
11.68,"100.0000%"
9.31,"100.0000%"
11.33,"81.8182%"
9.18,"45.0000%"
8.78,"75.0000%"
10.3,"100.0000%"
9.38,"25.0000%"
12.63,"100.0000%"
9,"100.0000%"
9.76,"72.2222%"
8.95,"83.3333%"
12.31,"100.0000%"
9.5,"80.0000%"
11.42,"92.3077%"
10.47,"80.0000%"
8.98,"92.3077%"
10.39,"75.0000%"
10.38,"100.0000%"
10.37,"77.1429%"
9.72,"76.6667%"
11,"75.0000%"
9.58,"85.7143%"
15,"100.0000%"
10.51,"47.0588%"
11.83,"54.5455%"
11.62,"61.1111%"
16,"100.0000%"
11.52,"80.0000%"
9.88,"43.7500%"
11,"83.3333%"
11.6,"41.6667%"
11.17,"87.5000%"
10.47,"66.6667%"
10.9,"64.2857%"
12.82,"87.5000%"
11,"66.6667%"
11.83,"86.6667%"
12.11,"70.0000%"
9.78,"48.0000%"
8.83,"50.0000%"
12.95,"87.5000%"
9.18,"50.0000%"
12.75,"75.0000%"
9.43,"70.0000%"
9.11,"44.4444%"
8.39,"55.5556%"
10.44,"71.4286%"
12.59,"85.7143%"
13.57,"46.1538%"
10.41,"62.5000%"
10.43,"68.4211%"
9.73,"70.0000%"
9.53,"75.0000%"
10.68,"80.0000%"
10.52,"77.7778%"
10.73,"71.4286%"
9.7,"100.0000%"
9,"75.0000%"
12.12,"62.5000%"
12,"60.0000%"
12.3,"100.0000%"
12.89,"80.0000%"
11.29,"71.4286%"
10.25,"62.5000%"
13.05,"100.0000%"
11.55,"57.1429%"
10.79,"76.9231%"
12.66,"83.3333%"
13.4,"86.6667%"
11.29,"70.8333%"
11.59,"37.5000%"
13,"77.7778%"
10.5,"80.0000%"
12.59,"66.6667%"
9.64,"66.6667%"
9.79,"66.6667%"
11.69,"93.3333%"
8.68,"36.3636%"
11,"100.0000%"
10.39,"58.3333%"
10.47,"73.3333%"
10.84,"69.2308%"
11.28,"70.0000%"
13.67,"100.0000%"
11.8,"77.7778%"
15.86,"100.0000%"
13.6,"100.0000%"
15.71,"100.0000%"
8.82,"63.6364%"
11.5,"55.0000%"
10.07,"75.0000%"
9.44,"91.6667%"
10.19,"66.6667%"
9.91,"55.5556%"
11.28,"69.2308%"
12.16,"85.7143%"
9.76,"92.3077%"
11.25,"83.3333%"
9.06,"63.6364%"
9.72,"61.1111%"
11.55,"66.6667%"
10.86,"73.9130%"
9.79,"73.0769%"
10.86,"100.0000%"
10.33,"100.0000%"
9.89,"69.5652%"
9.2,"80.0000%"
11.62,"88.2353%"
9.24,"77.7778%"
10.03,"80.0000%"
11.11,"88.8889%"
8.85,"77.2727%"
8.73,"55.0000%"
9.65,"60.0000%"
9.07,"68.4211%"
9.03,"81.2500%"
11.44,"77.7778%"
11.33,"76.9231%"
10.71,"77.7778%"
9.77,"76.9231%"
10.11,"55.0000%"
8.1,"68.0000%"
8.98,"47.6190%"
9.49,"55.8824%"
9.27,"76.9231%"
8.24,"46.1538%"
9.3,"39.0244%"
8.54,"52.5000%"
8.57,"55.5556%"
9.01,"70.0000%"
8.39,"68.1818%"
8.42,"60.6061%"
8.22,"57.6923%"
8.31,"50.0000%"
8.88,"62.9630%"
8.71,"38.7097%"
8.22,"50.0000%"
7.56,"30.0000%"
8.22,"57.8947%"
9.73,"60.5263%"
7.73,"33.3333%"
7.9,"52.2727%"
8.07,"40.0000%"
8.97,"81.8182%"
9.46,"70.0000%"
8.8,"64.0000%"
7.92,"48.0000%"
8.82,"70.3704%"
8.76,"47.3684%"
7.77,"80.0000%"
8.39,"75.0000%"
8.42,"51.7241%"
8.95,"58.3333%"
8.67,"35.0000%"
8.93,"38.4615%"
8.31,"32.1429%"
8.94,"41.9355%"
8.39,"42.5926%"
9.08,"60.5263%"
9.4,"44.0000%"
8.93,"57.4074%"
8.3,"66.6667%"
8.69,"53.1915%"
9.1,"46.3415%"
8.69,"57.8947%"
7.92,"38.8889%"
9.12,"30.0000%"
9.03,"45.4545%"
8.68,"70.0000%"
14.35,"91.3043%"
15.57,"93.9394%"
15.23,"71.4286%"
16,"75.0000%"
15.71,"91.6667%"
14.69,"81.8182%"
15.4,"100.0000%"
15,"100.0000%"
9.5,"57.1429%"
11.95,"89.8551%"
11.62,"82.6087%"
13.54,"94.1176%"
8.25,"50.0000%"
13.3,"100.0000%"
12.49,"86.5385%"
12.31,"89.6552%"
12.1,"88.8889%"
12.53,"90.1639%"
12.28,"85.0000%"
12.92,"100.0000%"
12.43,"90.3226%"
12.19,"96.0784%"
12.44,"100.0000%"
13.3,"100.0000%"
12.07,"91.9355%"
12.43,"80.0000%"
11.18,"93.1818%"
11.56,"82.3529%"
13.63,"85.7143%"
13.18,"93.7500%"
12.76,"87.0968%"
13.56,"87.0968%"
13.98,"83.3333%"
7.79,"65.0000%"
14.59,"87.5000%"
14.46,"100.0000%"
13.6,"82.8571%"
14.37,"88.0000%"
11.25,"84.0000%"
11.84,"92.8571%"
10.89,"67.8571%"
9.84,"66.6667%"
9.94,"42.1053%"
10.43,"59.0909%"
11.89,"55.0000%"
11.06,"82.7586%"
9.39,"38.7097%"
9.25,"33.3333%"
